date,TCS,overlap
2012-04-24,33.0,1.0
2012-04-25,25.0,1.0
2012-04-26,22.0,1.0
2012-04-27,25.0,1.0
2012-04-28,18.0,1.0
2012-04-29,17.0,1.0
2012-04-30,21.0,1.0
2012-05-01,20.0,1.0
2012-05-02,23.0,1.0
2012-05-03,22.0,1.0
2012-05-04,23.0,1.0
2012-05-05,19.0,1.0
2012-05-06,15.0,1.0
2012-05-07,23.0,1.0
2012-05-08,22.0,1.0
2012-05-09,28.0,1.0
2012-05-10,25.0,1.0
2012-05-11,27.0,1.0
2012-05-12,22.0,1.0
2012-05-13,17.0,1.0
2012-05-14,24.0,1.0
2012-05-15,22.0,1.0
2012-05-16,25.0,1.0
2012-05-17,24.0,1.0
2012-05-18,22.0,1.0
2012-05-19,18.0,1.0
2012-05-20,18.0,1.0
2012-05-21,25.0,1.0
2012-05-22,23.0,1.0
2012-05-23,23.0,1.0
2012-05-24,22.0,1.0
2012-05-25,26.0,1.0
2012-05-26,18.0,1.0
2012-05-27,18.0,
2012-05-28,24.0,
2012-05-29,24.0,
2012-05-30,23.0,
2012-05-31,23.0,
2012-06-01,19.0,
2012-06-02,17.0,
2012-06-03,17.0,
2012-06-04,23.0,
2012-06-05,21.0,
2012-06-06,20.0,
2012-06-07,21.0,
2012-06-08,21.0,
2012-06-09,19.0,
2012-06-10,15.0,
2012-06-11,20.0,
2012-06-12,22.0,
2012-06-13,23.0,
2012-06-14,21.0,
2012-06-15,21.0,
2012-06-16,17.0,
2012-06-17,16.0,
2012-06-18,25.0,
2012-06-19,23.0,
2012-06-20,23.0,
2012-06-21,21.0,
2012-06-22,21.0,
2012-06-23,17.0,
2012-06-24,18.0,
2012-06-25,24.0,
2012-06-26,28.0,
2012-06-27,26.0,
2012-06-28,21.0,
2012-06-29,25.0,
2012-06-30,18.0,
2012-07-01,22.0,
2012-07-02,28.0,
2012-07-03,27.0,
2012-07-04,26.0,
2012-07-05,27.0,
2012-07-06,27.0,
2012-07-07,21.0,
2012-07-08,21.0,
2012-07-09,25.0,
2012-07-10,29.0,
2012-07-11,31.0,
2012-07-12,36.0,
2012-07-13,29.0,
2012-07-14,23.0,
2012-07-15,27.0,
2012-07-16,32.0,
2012-07-17,27.0,
2012-07-18,31.0,
2012-07-19,26.0,
2012-07-20,27.0,
2012-07-21,22.0,
2012-07-22,19.0,
2012-07-23,30.0,
2012-07-24,26.0,
2012-07-25,24.0,
2012-07-26,24.0,
2012-07-27,25.0,
2012-07-28,23.0,
2012-07-29,17.0,
2012-07-30,28.0,
2012-07-31,25.0,
2012-08-01,23.0,
2012-08-02,21.0,
2012-08-03,26.0,1.0
2012-08-04,23.0,1.0
2012-08-05,17.0,1.0
2012-08-06,26.0,1.0
2012-08-07,26.0,1.0
2012-08-08,25.0,1.0
2012-08-09,25.0,1.0
2012-08-10,24.0,1.0
2012-08-11,20.0,1.0
2012-08-12,16.0,1.0
2012-08-13,27.0,1.0
2012-08-14,22.0,1.0
2012-08-15,20.0,1.0
2012-08-16,27.0,1.0
2012-08-17,27.0,1.0
2012-08-18,25.0,1.0
2012-08-19,19.0,1.0
2012-08-20,25.0,1.0
2012-08-21,23.0,1.0
2012-08-22,21.0,1.0
2012-08-23,29.0,1.0
2012-08-24,27.0,1.0
2012-08-25,23.0,1.0
2012-08-26,18.0,1.0
2012-08-27,27.0,1.0
2012-08-28,27.0,1.0
2012-08-29,25.0,1.0
2012-08-30,31.0,1.0
2012-08-31,26.0,1.0
2012-09-01,24.0,1.0
2012-09-02,19.0,1.0
2012-09-03,26.0,1.0
2012-09-04,28.0,1.0
2012-09-05,28.0,1.0
2012-09-06,28.0,1.0
2012-09-07,31.0,1.0
2012-09-08,26.0,1.0
2012-09-09,21.0,1.0
2012-09-10,32.0,1.0
2012-09-11,30.0,1.0
2012-09-12,30.0,1.0
2012-09-13,27.0,1.0
2012-09-14,30.0,1.0
2012-09-15,23.0,1.0
2012-09-16,22.0,1.0
2012-09-17,31.0,1.0
2012-09-18,29.0,1.0
2012-09-19,24.0,1.0
2012-09-20,29.0,1.0
2012-09-21,27.0,1.0
2012-09-22,24.0,1.0
2012-09-23,21.0,1.0
2012-09-24,27.0,1.0
2012-09-25,29.0,1.0
2012-09-26,32.0,1.0
2012-09-27,33.0,1.0
2012-09-28,31.0,1.0
2012-09-29,26.0,1.0
2012-09-30,21.0,1.0
2012-10-01,29.0,1.0
2012-10-02,22.0,1.0
2012-10-03,30.0,1.0
2012-10-04,30.0,1.0
2012-10-05,29.0,1.0
2012-10-06,27.0,1.0
2012-10-07,23.0,1.0
2012-10-08,27.0,1.0
2012-10-09,30.0,1.0
2012-10-10,27.0,1.0
