date,MARUTI,overlap
2011-11-01,34.0,1.0
2011-11-02,31.0,1.0
2011-11-03,32.0,1.0
2011-11-04,29.0,1.0
2011-11-05,32.0,1.0
2011-11-06,29.0,1.0
2011-11-07,34.0,1.0
2011-11-08,29.0,1.0
2011-11-09,28.0,1.0
2011-11-10,28.0,1.0
2011-11-11,27.0,1.0
2011-11-12,31.0,1.0
2011-11-13,23.0,1.0
2011-11-14,29.0,1.0
2011-11-15,28.0,1.0
2011-11-16,28.0,1.0
2011-11-17,27.0,1.0
2011-11-18,29.0,1.0
2011-11-19,29.0,1.0
2011-11-20,22.0,1.0
2011-11-21,28.0,1.0
2011-11-22,27.0,1.0
2011-11-23,28.0,1.0
2011-11-24,32.0,1.0
2011-11-25,32.0,1.0
2011-11-26,30.0,1.0
2011-11-27,29.0,1.0
2011-11-28,27.0,1.0
2011-11-29,27.0,1.0
2011-11-30,26.0,1.0
2011-12-01,28.0,1.0
2011-12-02,32.0,1.0
2011-12-03,28.0,1.0
2011-12-04,23.0,1.0
2011-12-05,27.0,1.0
2011-12-06,30.0,1.0
2011-12-07,28.0,1.0
2011-12-08,29.0,1.0
2011-12-09,28.0,1.0
2011-12-10,30.0,
2011-12-11,22.0,
2011-12-12,31.0,
2011-12-13,28.0,
2011-12-14,23.0,
2011-12-15,27.0,
2011-12-16,26.0,
2011-12-17,31.0,
2011-12-18,25.0,
2011-12-19,23.0,
2011-12-20,30.0,
2011-12-21,27.0,
2011-12-22,30.0,
2011-12-23,28.0,
2011-12-24,30.0,
2011-12-25,25.0,
2011-12-26,40.0,
2011-12-27,27.0,
2011-12-28,31.0,
2011-12-29,30.0,
2011-12-30,31.0,
2011-12-31,23.0,
2012-01-01,23.0,
2012-01-02,35.0,
2012-01-03,32.0,
2012-01-04,37.0,
2012-01-05,52.0,
2012-01-06,54.0,
2012-01-07,58.0,
2012-01-08,40.0,
2012-01-09,51.0,
2012-01-10,36.0,
2012-01-11,33.0,
2012-01-12,40.0,
2012-01-13,28.0,
2012-01-14,33.0,
2012-01-15,30.0,
2012-01-16,38.0,
2012-01-17,37.0,
2012-01-18,30.0,
2012-01-19,38.0,
2012-01-20,36.0,
2012-01-21,36.0,
2012-01-22,26.0,
2012-01-23,29.0,
2012-01-24,30.0,
2012-01-25,36.0,
2012-01-26,21.0,
2012-01-27,33.0,
2012-01-28,37.0,
2012-01-29,30.0,
2012-01-30,33.0,
2012-01-31,28.0,
2012-02-01,50.0,
2012-02-02,44.0,
